iter	Logloss
0	0.6740262966
1	0.6551544285
2	0.6421161416
3	0.6330803642
4	0.625039022
5	0.6147483121
6	0.6040417116
7	0.5953184843
8	0.5853562985
9	0.5784154865
10	0.5693959369
11	0.562718667
12	0.5562534292
13	0.5498136282
14	0.5448085956
15	0.5402905419
16	0.5361726749
17	0.5333099444
18	0.5281016077
19	0.524330184
20	0.5209850153
21	0.5185202525
22	0.5156024301
23	0.5121262735
24	0.5093576254
25	0.5077277699
26	0.5055211853
27	0.5034691591
28	0.5015229866
29	0.500277915
30	0.4980816641
31	0.4963121775
32	0.4949702926
33	0.4940122443
34	0.4922326414
35	0.491496441
36	0.4905951945
37	0.4892073162
38	0.488429942
39	0.4870421095
40	0.4864704968
41	0.4855435911
42	0.4844519974
43	0.484012774
44	0.4834355202
45	0.4831828239
46	0.4825490348
47	0.4818887075
48	0.4814502848
49	0.4808322592
50	0.4804039533
51	0.4797472856
52	0.4795526323
53	0.4791290529
54	0.4784694641
55	0.4778751989
56	0.4775002098
57	0.4770877604
58	0.476970744
59	0.4765506826
60	0.4762682648
61	0.4760784898
62	0.4754257615
63	0.4752292259
64	0.4751150337
65	0.4748201768
66	0.4745308956
67	0.4743372181
68	0.4741732788
69	0.4740450187
70	0.4738870239
71	0.4735489998
72	0.473388759
73	0.47322663
74	0.4729987082
75	0.4729469467
76	0.4727589818
77	0.4725373938
78	0.4724055583
79	0.4722191949
80	0.4719939615
81	0.4719005563
82	0.4717965615
83	0.4716627041
84	0.4714178761
85	0.4712604926
86	0.4710640343
87	0.4709853458
88	0.470906383
89	0.4705476602
90	0.4704316392
91	0.4702302608
92	0.4701148489
93	0.4699918984
94	0.4698225559
95	0.4694784271
96	0.4693951587
97	0.4690692259
98	0.4688603398
99	0.4687949528
100	0.4687325898
101	0.4685525428
102	0.4684385785
103	0.4683921254
104	0.4683064073
105	0.4681774076
106	0.4680927012
107	0.4678857182
108	0.4678143597
109	0.4677494053
110	0.4676196812
111	0.4675658855
112	0.46732817
113	0.4672786626
114	0.4671842604
115	0.4670856655
116	0.4670206135
117	0.4669675501
118	0.4668640143
119	0.4667030555
120	0.4665000397
121	0.466310007
122	0.4662480794
123	0.4661790607
124	0.4660427461
125	0.4659706855
126	0.4658692261
127	0.465844144
128	0.4658188806
129	0.4657179162
130	0.4656310727
131	0.4655460297
132	0.4654952716
133	0.4654231061
134	0.4653645389
135	0.4652449512
136	0.4651763383
137	0.465166573
138	0.4650528005
139	0.4650468799
140	0.4650214433
141	0.464998751
142	0.46497415
143	0.4649573417
144	0.4648941258
145	0.4648124285
146	0.4646230901
147	0.4645221496
148	0.4644533072
149	0.4643494469
150	0.4642257649
151	0.4641195554
152	0.4640950166
153	0.4640798707
154	0.4640559482
155	0.4639228578
156	0.4638627852
157	0.4637836983
158	0.4637012112
159	0.4636598841
160	0.4636247906
161	0.4635712723
162	0.463508579
163	0.4634572907
164	0.4634525466
165	0.4633595303
166	0.4633052707
167	0.4632365634
168	0.463184979
169	0.463153042
170	0.4631162291
171	0.4630309347
172	0.4630301254
173	0.4630186792
174	0.4629846376
175	0.4629547782
176	0.4628947778
177	0.4627611183
178	0.4627319509
179	0.4627011821
180	0.4626501149
181	0.462621114
182	0.4625455409
183	0.4624708433
184	0.4624004003
185	0.4623387109
186	0.4622518543
187	0.4622232664
188	0.4621807291
189	0.4621547028
190	0.4621041098
191	0.4620893166
192	0.4620405446
193	0.4619380033
194	0.4619073851
195	0.4618288341
196	0.4617828968
197	0.4617525239
198	0.4617302055
199	0.4616897621
200	0.4616209147
201	0.461581999
202	0.4615658845
203	0.461497537
204	0.4614714328
205	0.4613937992
206	0.4612996638
207	0.4612495469
208	0.4611847346
209	0.4611403279
210	0.4610815375
211	0.4610490636
212	0.4610074497
213	0.4609370861
214	0.460929573
215	0.460877199
216	0.4608476928
217	0.460798763
218	0.4607710901
219	0.4607396434
220	0.4607274649
221	0.4606144291
222	0.4605607589
223	0.4605198222
224	0.4604354492
225	0.460407472
226	0.4603677579
227	0.4603028019
228	0.460241314
229	0.4601993472
230	0.4601556394
231	0.4600527992
232	0.4600081777
233	0.4599788933
234	0.4599314987
235	0.45990871
236	0.459812434
237	0.4597881232
238	0.4597439584
239	0.459679748
240	0.4596478934
241	0.4595930794
242	0.4595711876
243	0.4595369161
244	0.4595033386
245	0.4594574385
246	0.4593936275
247	0.4592970439
248	0.4592233364
249	0.459216875
250	0.4591512467
251	0.4590650574
252	0.4590370701
253	0.4590192028
254	0.4590016485
255	0.4589335148
256	0.4589164239
257	0.4588888044
258	0.4588492213
259	0.4587620819
260	0.4586307496
261	0.4586148248
262	0.4585029019
263	0.4584709402
264	0.4584275049
265	0.4583994635
266	0.4583419052
267	0.4582791658
268	0.458257202
269	0.4582064664
270	0.4581382906
271	0.4580617128
272	0.4580250616
273	0.4578588299
274	0.4577337994
275	0.4577049482
276	0.4576629361
277	0.4575719526
278	0.4575242682
279	0.4574608422
280	0.457372745
281	0.4572045418
282	0.4571521939
283	0.4571236207
284	0.4569469513
285	0.4568842149
286	0.4567375443
287	0.4566699893
288	0.4565751229
289	0.4564750561
290	0.4564227448
291	0.4563167996
292	0.4561840643
293	0.4560682182
294	0.4558954456
295	0.4558092663
296	0.455697491
297	0.4555962909
298	0.455522537
299	0.4553713532
300	0.4552829018
301	0.4551813274
302	0.4550980902
303	0.4549919816
304	0.4548358748
305	0.4547051246
306	0.4545979056
307	0.4544051523
308	0.4542630437
309	0.4540751223
310	0.4539387578
311	0.4537818776
312	0.4536715203
313	0.4535770172
314	0.4534353234
315	0.4533257063
316	0.4532414954
317	0.4530914757
318	0.4529330925
319	0.4527550176
320	0.4526462836
321	0.4525229061
322	0.4524683545
323	0.4523269783
324	0.452217086
325	0.4521099563
326	0.4519300717
327	0.4517708573
328	0.451628069
329	0.4515173101
330	0.4514430284
331	0.4512795318
332	0.4511591716
333	0.4510149448
334	0.4508756913
335	0.4507638817
336	0.4506476668
337	0.4504866506
338	0.450356546
339	0.4502178745
340	0.4499911691
341	0.449783994
342	0.4496934923
343	0.4495658397
344	0.4494568403
345	0.4493219321
346	0.4491799735
347	0.4490858158
348	0.4490043346
349	0.4488527259
350	0.4486514262
351	0.4485505608
352	0.4484203349
353	0.4482449395
354	0.4481097188
355	0.4479270306
356	0.4477892733
357	0.4476838749
358	0.4475473377
359	0.4474578579
360	0.447315542
361	0.447155089
362	0.4470317359
363	0.4469033339
364	0.4468304682
365	0.4467425434
366	0.4466096722
367	0.4464663842
368	0.4463754769
369	0.4462193183
370	0.4461546236
371	0.4460376655
372	0.4459630298
373	0.445809806
374	0.4456702273
375	0.4455496507
376	0.4454521681
377	0.4453336698
378	0.4452321842
379	0.4451096561
380	0.4450267436
381	0.4448830677
382	0.4447647555
383	0.4446488552
384	0.4445413775
385	0.4444107625
386	0.4443456797
387	0.4442732372
388	0.4441204039
389	0.4440476059
390	0.4439736831
